"ACTIVE","ASSET","CBSA","CHARTER","COUNTY","ESTYMD","ID","NAME","OFFICES","STNAME","UNINUM","WEBADDR","ZIP"
1,261034,,"0","Green Lake","01/20/1910","10004","Ergo Bank",6,"Wisconsin","6394","www.ergobank.com","53946"
1,509049,"Madison, WI","0","Green","01/01/1915","10011","Woodford State Bank",6,"Wisconsin","6400","www.woodfordstatebank.com","53566"
1,215689,"Stevens Point, WI","0","Portage","01/01/1901","10012","The Portage County Bank",4,"Wisconsin","6401","http://www.PORTAGECOUNTYBANK.COM","54909"
1,231630,"Eau Claire, WI","0","Chippewa","08/28/1907","10015","Security Bank",4,"Wisconsin","6404","www.securityonlinebank.com","54757"
1,2920038,"Fond du Lac, WI","13879","Fond Du Lac","12/20/1933","10044","National Exchange Bank and Trust",34,"Wisconsin","6419","https://www.nebat.com","54935"
1,2161209,"Mount Pleasant, MI","0","Isabella","07/01/1903","1005","Isabella Bank",32,"Michigan","664","www.isabellabank.com","48858"
1,327683,"Waycross, GA","0","Ware","06/19/1907","10055","First Southern Bank",7,"Georgia","6427","www.fsb-bank.bank","31501"
1,86116,"Milledgeville, GA","0","Hancock","09/01/1904","10057","Bank of Hancock County",1,"Georgia","6429","www.bankofhancock.com","31087"
1,145425,,"0","Mitchell","05/24/1913","10072","Planters and Citizens Bank",1,"Georgia","6440","http://www.pcbank.net","31730"
1,76580,,"0","White","07/16/1907","10074","Apex Banking Company of Georgia",2,"Georgia","6442","www.apexga.bank","30528"
1,46921,"Bloomington, IL","0","Mclean","06/01/1892","10075","Peoples State Bank of Colfax",1,"Illinois","6443","http://www.psbofcolfax.com","61728"
1,37148,"Lincoln, IL","0","Logan","05/25/1891","10077","Farmers State Bank of Emden",1,"Illinois","6444","","62635"
1,153545,"Jackson, MI","0","Jackson","10/01/1907","1008","Bank Michigan",3,"Michigan","667","http://www.bankmichigan.bank","49230"
1,483356,,"0","Ripley","12/09/1903","10101","The Napoleon State Bank",7,"Indiana","6459","www.napoleonstatebank.com","47034"
1,481985,"Dubuque, IA","0","Dubuque","02/28/1903","10111","Ohnward Bank & Trust",6,"Iowa","6465","www.ohnwardbank.bank","52033"
1,290870,"Pella, IA","0","Marion","07/14/1911","10118","Leighton State Bank",4,"Iowa","6471","www.leightonbank.com","50219"
1,30950,,"0","Cedar","10/01/1913","10120","American Trust and Savings Bank",1,"Iowa","6473","www.atsb-lowden.com","52255"
1,181110,,"0","Cedar","01/01/1905","10121","Liberty Trust & Savings Bank",3,"Iowa","6474","www.mylibertytrust.com","52747"
1,212505,,"0","Tama","01/01/1915","10122","Farmers Savings Bank & Trust",2,"Iowa","6475","http://www.fsb-traer.com","50675"
1,159742,"Cedar Rapids, IA","0","Jones","11/08/1906","10125","Citizens Savings Bank",2,"Iowa","6478","www.citizensbankia.com","52205"
1,269686,,"0","Davis","01/01/1900","10127","Success Bank",3,"Iowa","6480","www.success.bank","52537"
1,146278,"Ames, IA","0","Story","01/01/1902","10132","Exchange State Bank",3,"Iowa","6484","www.esb1.com","50010"
1,244877,"Huntington-Ashland, WV-KY-OH","0","Carter","01/01/1891","10137","The Commercial Bank of Grayson",3,"Kentucky","6488","cbgrayson.com","41143"
1,4407418,"Grand Rapids-Kentwood, MI","0","Kent","01/01/1898","1014","ChoiceOne Bank",51,"Michigan","672","WWW.CHOICEONE.BANK","49345"
1,23377,,"0","Hart","02/20/1890","10145","Hart County Bank and Trust Company",1,"Kentucky","6494","","42765"
